actual,predicted
Bull,Bull
Bull,Bull
Bull,Bull
Bull,Bull
Bull,Bull
Bull,Bull
Bull,Bull
Bull,Bull
Bull,Bull
Bull,Bull
Bull,Bull
Bull,Bull
Bull,Bull
Bull,Bull
Bull,Bull
Bull,Bull
Bull,Bull
Bull,Bull
Bull,Bull
Bull,Bull
Bull,Bull
Bull,Bull
Bull,Bull
Bull,Bull
Bull,Bull
Bull,Bull
Bull,Bull
Bull,Bull
Bull,Bull
Bull,Bull
Bull,Bull
Bull,Bull
Bull,Bull
Bull,Bull
Bull,Bull
Bull,Bull
Bull,Bull
Bull,Bull
Bull,Bull
Bull,Bull
Bull,Bull
Bull,Bull
Bull,Bull
Bull,Bull
Bull,Bull
Bull,Bull
Bull,Bull
Bull,Bull
Bull,Bull
Bull,Bull
Bull,Bull
Bull,Bull
Bull,Bull
Bull,Bull
Bull,Bull
Bull,Bull
Bull,Bull
Bull,Bull
Bull,Bull
Bull,Bull
Bull,Bull
Bull,Bull
Bull,Bull
Bull,Bull
Bull,Bull
Bull,Bull
Bull,Bull
Bull,Bull
Bull,Bull
Bull,Bull
Bull,Bull
Bull,Bull
Bull,Bull
Bull,Bull
Bull,Bull
Bull,Bull
Bull,Bull
Bull,Bull
Bull,Bull
Bull,Bull
Bull,Bull
Bull,Bull
Bull,Bull
Bull,Bull
Bull,Bull
Bull,Bull
Bull,Bull
Bull,Bull
Bull,Bull
Bull,Bear
Bull,Bull
Bull,Bull
Bull,Bull
Bull,Bull
Bull,Bull
Bull,Bear
Bull,Bull
Bull,Bull
Bull,Bull
Bull,Bull
Bull,Bull
Bull,Bull
Bull,Bull
Bull,Bull
Bull,Bull
Bull,Bull
Bull,Bull
Bull,Bull
Bull,Bull
Bull,Bull
Bull,Bull
Bear,Bull
Bear,Bull
Bear,Bull
Bear,Bear
Bear,Bear
Bear,Bull
Bear,Bull
Bear,Bull
Bull,Bull
Bull,Bull
Bear,Bull
Bear,Bull
Bear,Bull
Bear,Bull
Bear,Bull
Bull,Bull
Bull,Bull
Bull,Bull
Bull,Bull
Bear,Bull
Bear,Bull
Bear,Bull
Bull,Bull
Bear,Bull
Bull,Bull
Bull,Bull
Bull,Bull
Bull,Bull
Bull,Bull
Bull,Bull
Bull,Bull
Bull,Bull
Bull,Bull
Bull,Bull
Bull,Bull
Bull,Bull
Bull,Bull
Bull,Bull
Bull,Bull
Bull,Bull
Bull,Bull
Bull,Bull
Bull,Bull
Bull,Bull
Bull,Bull
Bull,Bull
Bull,Bull
Bull,Bull
Bull,Bull
Bull,Bull
Bull,Bull
Bull,Bull
Bull,Bull
Bull,Bull
Bull,Bull
Bull,Bull
Bull,Bull
Bull,Bull
Bull,Bull
Bull,Bull
Bull,Bull
Bull,Bull
Bull,Bull
Bull,Bull
Bull,Bull
Bull,Bull
Bull,Bull
Bull,Bull
Bull,Bull
Bear,Bull
Bear,Bull
Bear,Bull
Bear,Bull
Bear,Bull
Bear,Bull
Bear,Bull
Bear,Bull
Bear,Bull
Bear,Bull
Bear,Bull
Bear,Bull
Bear,Bull
Bear,Bull
Bear,Bull
Bear,Bull
Bear,Bull
Bear,Bull
Bear,Bull
Bear,Bull
Bear,Bull
Bear,Bull
Bear,Bull
Bear,Bull
Bull,Bull
Bear,Bull
Bear,Bull
Bull,Bull
Bull,Bull
Bull,Bull
Bear,Bull
Bear,Bull
Bear,Bull
Bear,Bull
Bear,Bull
Bear,Bull
Bull,Bull
Bull,Bull
Bull,Bull
Bull,Bull
Bull,Bull
Bull,Bull
Bull,Bull
Bull,Bull
Bull,Bull
Bull,Bull
Bull,Bull
Bull,Bull
Bull,Bull
Bull,Bull
Bull,Bull
Bull,Bull
Bull,Bull
Bull,Bull
Bull,Bull
Bull,Bull
Bull,Bull
Bull,Bull
Bull,Bull
Bull,Bull
Bull,Bull
Bull,Bull
Bear,Bull
Bear,Bull
Bull,Bull
Bear,Bull
Bull,Bull
Bear,Bull
Bear,Bull
Bull,Bull
Bull,Bull
